has_healthy_diet,apple,banana,carrot,spinach,broccoli,orange,strawberry,grapes,gummy_candy
1.000000000000000000e+00,-7.421920939974366860e-01,9.243577571874340704e-01,3.461187418525561721e-02,-2.827957491475700524e-01,-1.061819306225762621e-01,2.231220184061661338e-01,6.168141996897797963e-01,-9.997122286693813642e-01,-1.041587632621271853e+00
0.000000000000000000e+00,nan,-4.123368722047305868e-01,nan,4.438127093831046310e-01,4.633698060326869039e-01,-1.530715257256706430e+00,2.294817154636062950e-01,nan,3.743864517062630570e-01
1.000000000000000000e+00,6.319814837613952907e-01,-1.404269098090749068e+00,3.310401549961956014e-01,-3.026197594704465588e-01,-4.827901587246448134e-01,8.705556094197265393e-01,1.479274510674229992e+00,1.794370054600358921e+00,1.314807871505905057e+00
1.000000000000000000e+00,-1.097341816301836831e-01,3.527201630263430698e-01,7.668228717842436870e-01,1.211779492994619623e-01,1.307641879115443717e-01,8.237531318761820431e-01,-5.928264602593221605e-02,-7.292869363736614874e-01,-4.144730658358585229e-01
0.000000000000000000e+00,6.339103777337423695e-01,2.993291199955732014e-03,3.402099768683378711e-01,6.700792422021898398e-01,nan,7.562481636298060694e-01,3.788426034583944335e-01,-1.234813086911478619e+00,1.442304791186244328e+00
1.000000000000000000e+00,nan,-1.655095343185183809e+00,nan,-1.021045160678321961e+00,5.217331865753346842e-02,-2.738505055462371884e-01,-3.368319676405928664e-01,6.197019654824789114e-01,3.398753611927037843e-01
1.000000000000000000e+00,3.160478706442862440e-01,4.098284573286926635e-01,6.161346680022382616e-01,-2.107953341777442979e+00,-3.644382522644611933e-01,-2.180210064489473964e+00,3.605992679779541216e-02,-4.632972224345320057e-03,1.045532274789680249e+00
1.000000000000000000e+00,1.187634392721120813e+00,2.027750482523673348e-01,-5.003610773968998338e-01,4.851611125457378493e-01,-5.279176373243135156e-01,-1.392651443348899001e-03,9.861363169607677559e-01,-5.577713459894235726e-01,8.056786392425009380e-01
0.000000000000000000e+00,6.774013686923023858e-01,-9.547918171308215074e-01,9.738941282174009562e-01,6.985663453715050819e-01,1.019258873726574394e-01,nan,-8.592060185755699964e-01,-5.376625769030224378e-01,5.425944632919600386e-01
0.000000000000000000e+00,-9.556251674013979125e-01,4.375122486198699256e-01,-1.241755528878392578e+00,-2.040685844388489545e-01,1.096477545740086323e-01,2.445130145058916682e+00,-1.377315655520367388e+00,1.472014566490133403e+00,1.498424139872800431e-01
0.000000000000000000e+00,4.111719180159631448e-01,1.183479133882045092e-01,4.447268181952330202e-01,-1.536851043620177382e-01,1.454050181457458235e+00,-4.564711442247224027e-01,1.132234572179247722e+00,-6.443671202130228925e-01,-6.025184640128695285e-02
